name,name_alt,geom,code_hasc,statefp,statefp_nu,sq_mi,pers_sq_mi,acs_14_5yr,total_pop,pop_16up,lab_for,employed,unemp_rate,hh_est,hh_med_inc,hh_mea_inc
Maryland,MD,"POLYGON((-75.2973379756101 38.1125649955906, -75.2171353170734 38.2097499970604, -75.1369326585367 38.3069349985303, -75.05673 38.4041200000001, -75.0483851793271 38.4487645533725, -75.2149447801579 38.4489002040073, -75.3815043809886 38.449035854642, -75.5480639818194 38.4491715052768, -75.7146235826501 38.4493071559116, -75.7511329820643 39.0864258896382, -75.7876423814785 39.7235446233647, -76.0077775234878 39.722879289299, -76.2279126654972 39.7222139552332, -76.4480478075066 39.7215486211675, -76.6681829495159 39.7208832871017, -76.8819618903533 39.7220783045984, -77.0957408311907 39.7232733220952, -77.3095197720282 39.7244683395919, -77.5232987128656 39.7256633570886, -77.7007039049236 39.7245975306726, -77.8781090969816 39.7235317042566, -78.0555142890397 39.7224658778406, -78.2329194810977 39.7214000514246, -78.3914110989369 39.7206119858322, -78.549902716776 39.7198239202397, -78.7818071662398 39.7200887619552, -79.0137116157037 39.7203536036707, -79.2456160651676 39.7206184453862, -79.4775205146314 39.7208832871017, -79.4859954495272 39.2134207219955, -79.3325164456203 39.3028467880765, -79.161079881492 39.4182144231681, -78.9631591458142 39.4579019231683, -78.8292913479621 39.5626500514238, -78.6816517809042 39.5425479192623, -78.5340122138463 39.5224457871008, -78.4250007799266 39.5965239527912, -78.2324027167748 39.6722040878827, -78.077877265114 39.6325165878825, -77.9233518134532 39.5928290878823, -77.8016538154059 39.4499437525953, -77.7227955797285 39.3224321559151, -77.5762157440186 39.2885608673096, -77.4434070587158 39.2134227752686, -77.5169677734375 39.1059856414795, -77.3058185577393 39.0456790924072, -77.1195498648595 38.9340067776485, -77.0385996161841 38.9821686874892, -76.9115789456106 38.8784540878794, -77.0412350157543 38.7895448536498, -77.0592174530029 38.7085933685303, -77.229621548151 38.6144133570842, -77.3433869943174 38.3916108491819, -77.210578918457 38.3371181488037, -77.0481071472168 38.3805027008057, -76.9898945787489 38.2397333847519, -76.8247534340617 38.200615038564, -76.6596122893745 38.161496692376, -76.4944711446872 38.1223783461881, -76.32933 38.0832600000001, -76.38267875 38.2418487500001, -76.4360275 38.4004375000001, -76.48937625 38.5590262500001, -76.542725 38.7176150000001, -76.4463625 38.9338075000001, -76.35 39.15, -76.291435 38.7346075, -76.23287 38.319215, -76.1051650967161 38.2236738223572, -75.9774601934322 38.1281326447145, -75.8497552901483 38.0325914670718, -75.7220503868644 37.937050289429, -75.6098499298096 38.0000324249268, -75.3775406341468 38.0153799941208, -75.2973379756101 38.1125649955906))",US.MD,24,24,9984.97,589.7,0400000US24,5887776,4695768,68.9,62.8,8,2155983,74149,97135
South Dakota,SD|S.D.,"POLYGON((-96.7772429827588 46.0111517909517, -97.0150353157269 46.0043369614432, -97.252827648695 45.9975221319347, -97.490619981663 45.9907073024261, -97.7284123146311 45.9838924729176, -97.9662046475992 45.9770776434091, -98.2039969805672 45.9702628139006, -98.4417893135353 45.9634479843921, -98.6449229093206 45.9637128261076, -98.848056505106 45.9639776678231, -99.0511901008913 45.9642425095386, -99.2543236966767 45.9645073512541, -99.457457292462 45.9647721929696, -99.6605908882473 45.9650370346851, -99.8637244840327 45.9653018764006, -100.066858079818 45.9655667181161, -100.323108588445 45.9650402644621, -100.579359097073 45.9645138108081, -100.8356096057 45.9639873571542, -101.091860114327 45.9634609035002, -101.348110622954 45.9629344498462, -101.604361131581 45.9624079961923, -101.860611640209 45.9618815425383, -102.116862148836 45.9613550888843, -102.355581427808 45.9607608099129, -102.594300706781 45.9601665309416, -102.833019985753 45.9595722519703, -103.071739264725 45.9589779729989, -103.310458543698 45.9583836940275, -103.54917782267 45.9577894150562, -103.787897101643 45.9571951360848, -104.026616380615 45.9566008571135, -104.052286648356 45.4986055568187, -104.077956916097 45.0406102565239, -104.065257432861 44.0203753728935, -104.052557949625 43.0001404892631, -103.881983735961 43.0001404892631, -103.711409522296 43.0001404892631, -103.540835308632 43.0001404892631, -103.370261094967 43.0001404892631, -103.199686881303 43.0001404892631, -103.029112667639 43.0001404892631, -102.858538453974 43.0001404892631, -102.68796424031 43.0001404892631, -102.517390026645 43.0001404892631, -102.346815812981 43.0001404892631, -102.176241599317 43.0001404892631, -102.005667385652 43.0001404892631, -101.835093171988 43.0001404892631, -101.664518958323 43.0001404892631, -101.493944744659 43.0001404892631, -101.323370530994 43.0001404892631, -101.15279631733 43.0001404892631, -100.982222103666 43.0001404892631, -100.811647890001 43.0001404892631, -100.641073676337 43.0001404892631, -100.470499462672 43.0001404892631, -100.299925249008 43.0001404892631, -100.129351035344 43.0001404892631, -99.9587768216792 43.0001404892631, -99.7882026080148 43.0001404892631, -99.6176283943504 43.0001404892631, -99.447054180686 43.0001404892631, -99.2764799670216 43.0001404892631, -99.1059057533572 43.0001404892631, -98.9353315396928 43.0001404892631, -98.7647573260284 43.0001404892631, -98.594183112364 43.0001404892631, -98.4650695462827 42.936901455246, -98.3359559802015 42.8736624212288, -98.152078314999 42.8339749212286, -97.9682006497964 42.7942874212284, -97.8819268460852 42.8397885198614, -97.6443444486233 42.8360936549526, -97.4657506986225 42.8411191879929, -97.2871569486218 42.8461447210333, -97.157772081271 42.7818463201541, -97.0283872139203 42.717547919275, -96.8913283963741 42.6757546046589, -96.754269578828 42.6339612900429, -96.708768480195 42.5508655869176, -96.6230372790228 42.5027289902377, -96.4552955798034 42.4889572210319, -96.4537194486185 42.580502020837, -96.6156475492051 42.6916321884806, -96.5352131823428 42.8556790227912, -96.4833558825379 43.0160051539767, -96.4595330472513 43.1244998235735, -96.5870704821477 43.2573082545636, -96.5860111152857 43.5012468531974, -96.4526600817565 43.5017894557365, -96.4394309150898 44.4357634547637, -96.4697262235209 44.6750770127074, -96.500021531952 44.9143905706511, -96.5303168403831 45.1537041285947, -96.5606121488142 45.3930176865384, -96.7357694160675 45.4708165553537, -96.8347039456903 45.6253290879064, -96.7807279121615 45.7607988551596, -96.6688096789254 45.8166223211429, -96.5568914456892 45.8724457871262, -96.5394506497908 46.0179666204602, -96.7772429827588 46.0111517909517))",US.SD,46,46,76726.378,10.9,0400000US46,834708,651429,69.1,65.4,4.8,327101,50338,65425
Wisconsin,WI|Wis.,"POLYGON((-91.2139100817355 43.4467540553456, -91.0837371487923 43.288004055345, -91.1731632148734 43.2123239202535, -91.1699851142875 43.0022333847709, -91.1292382474253 42.912833156906, -91.0646943834928 42.7540831569054, -90.9014356147747 42.7061791041708, -90.7381768460566 42.6582750514362, -90.6408184476187 42.5053644882846, -90.3856273058533 42.5053644882846, -90.130436164088 42.5053644882846, -89.8752450223226 42.5053644882846, -89.6200538805573 42.5053644882846, -89.3591783312398 42.5048348048536, -89.0983027819224 42.5043051214226, -88.837427232605 42.5037754379916, -88.5765516832875 42.5032457545606, -88.3840634325543 42.5009978297559, -88.1915751818211 42.4987499049512, -87.9990869310879 42.4965019801465, -87.8065986803547 42.4942540553418, -87.8065986803547 42.4968895533887, -87.6481199816236 42.4961014877963, -87.4896412828925 42.4953134222038, -87.2644741482888 42.4939827540723, -87.039307013685 42.4926520859409, -87.0795371162242 42.7821176214237, -87.1139277819145 43.0302936875054, -87.1551914130995 43.3266321884832, -87.1451403470188 43.5710875514399, -87.1419622464328 43.6578781194741, -87.0832319811331 43.8901895208423, -87.0324340481902 44.091288357106, -86.9755512153449 44.2264868230896, -86.9186683824996 44.3616852890733, -86.8223435127076 44.5913353541783, -86.7149340481889 44.846410223971, -86.6255079821078 44.9440399236784, -86.5360819160267 45.0416696233859, -86.4016715156356 45.1332144231909, -86.2645997789814 45.2268779567199, -86.4815632799588 45.3231769882958, -86.6278850979932 45.3877337713365, -86.7742069160277 45.4522905543772, -86.9448554145635 45.4522905543772, -87.1155039130994 45.4522905543771, -87.2446174791806 45.2898456894677, -87.4197747464339 45.1840123561338, -87.4594622464341 45.0681279567193, -87.6129154121248 45.1104509547663, -87.6139747789868 45.1088748235814, -87.747325812516 45.2268779567199, -87.6732476468256 45.3877466904445, -87.8933892483889 45.3967125514472, -87.8478881497559 45.5591832545728, -87.7870133125161 45.6396176214351, -87.8754058499514 45.7798416204591, -88.1119288805513 45.8433519557458, -88.1669642809421 46.0079155543795, -88.3617069160341 46.0206279567232, -88.644273647806 46.0222040879081, -88.7884702725624 46.0671819626641, -88.9326668973189 46.1121598374201, -89.0768635220753 46.1571377121762, -89.2210601468317 46.2021155869322, -89.4398710802636 46.2468350795268, -89.6586820136955 46.2915545721213, -89.8774929471273 46.3362740647159, -90.0963038805592 46.3809935573105, -90.1767382474215 46.5608792181185, -90.3339121162372 46.5936937526238, -90.3349714830992 46.5968718532098, -90.3968798489849 46.5762529567253, -90.4106257799746 46.5841852890821, -90.3952778795838 46.6116771510614, -90.3555903795837 46.6730687526241, -90.2989788480079 46.7609186875203, -90.2418247138932 46.8482260198775, -90.1852131823174 46.9360759547736, -90.1280590482026 47.0239000514537, -90.0714475166268 47.1117499863499, -90.0148101468349 47.1995999212461, -89.9576560127201 47.2869072536032, -90.1317539131114 47.2927466904522, -90.3058518135028 47.2980176865459, -90.4799497138941 47.3038571233949, -90.6540476142854 47.3091281194887, -90.8577819485961 47.2128290879128, -91.0609736803678 47.1170468206598, -91.2647080146785 47.0212645534068, -91.4684423489892 46.9249655218309, -91.5922590807605 46.8762604843959, -91.7166184150709 46.827607123393, -91.8409777493813 46.778385321635, -91.9647944811526 46.729706122416, -92.0118975491867 46.7117227239785, -92.1433882311534 46.6839337225135, -92.27487891312 46.6561447210486, -92.2648278470392 46.0952228867364, -92.2965830146826 46.0962822535984, -92.4201413642924 46.0409884710461, -92.5436997139023 45.9856946884938, -92.7569683499709 45.8899124212408, -92.8998278470418 45.7057634547687, -92.7945241971391 45.6120999212397, -92.6892205472363 45.5184363877107, -92.7654174466506 45.267082221043, -92.7664768135126 44.9961426865367, -92.796655849971 44.7760269231895, -92.6508637153676 44.6799733546669, -92.5050715807642 44.5839197861444, -92.3854923164408 44.5749280869257, -92.2238225980157 44.5037567205517, -92.0621528795905 44.4325853541777, -91.949989183301 44.364837551443, -91.8796058825195 44.2574280869244, -91.7536574979161 44.1714385035907, -91.6277091133127 44.085448920257, -91.4586496650699 44.0113707545667, -91.289590216827 43.9372925888763, -91.2572924466446 43.85473948829, -91.2546569485977 43.6139789902421, -91.2281986152643 43.5012468531974, -91.2139100817355 43.4467540553456))",US.WI,55,55,65532.683,87.4,0400000US55,5724692,4561244,67.4,62.5,7.2,2293250,52738,68319
New Mexico,NM|N.M.,"POLYGON((-108.843246186545 31.3419409918109, -108.642819562873 31.3419828463064, -108.4423929392 31.3420247008018, -108.241966315528 31.3420665552973, -108.24 31.7548537181664, -108.023417939098 31.7547831853568, -107.806835878196 31.7547126525472, -107.590253817295 31.7546421197376, -107.373671756393 31.754571586928, -107.157089695491 31.7545010541183, -106.940507634589 31.7544305213087, -106.723925573688 31.7543599884991, -106.507343512786 31.7542894556895, -106.619533047292 31.9140988225521, -106.630126715912 31.9992874211853, -106.403344692799 31.9992874211853, -106.176562669686 31.9992874211853, -105.949780646573 31.9992874211853, -105.72299862346 31.9992874211853, -105.496216600348 31.9992874211853, -105.269434577235 31.9992874211853, -105.042652554122 31.9992874211853, -104.815870531009 31.9992874211853, -104.589088507896 31.9992874211853, -104.362306484783 31.9992874211853, -104.13552446167 31.9992874211853, -103.908742438557 31.9992874211853, -103.681960415445 31.9992874211853, -103.455178392332 31.9992874211853, -103.228396369219 31.9992874211853, -103.001614346106 31.9992874211853, -103.001614346106 36.4993228215939, -103.003216315507 36.9951581894344, -103.152838965654 36.9952873805151, -103.302461615801 36.9954165715959, -103.452084265948 36.9955457626766, -103.601706916095 36.9956749537573, -103.751329566242 36.995804144838, -103.900952216389 36.9959333359187, -104.050574866536 36.9960625269995, -104.200197516683 36.9961917180802, -104.41265547872 36.996327368715, -104.625113440757 36.9964630193498, -104.837571402794 36.9965986699846, -105.050029364831 36.9967343206194, -105.262487326868 36.9968699712541, -105.474945288905 36.9970056218889, -105.687403250942 36.9971412725237, -105.899861212979 36.9972769231585, -106.097374996753 36.9976063604144, -106.294888780526 36.9979357976702, -106.4924025643 36.9982652349261, -106.689916348073 36.9985946721819, -106.887430131847 36.9989241094378, -107.084943915621 36.9992535466936, -107.282457699394 36.9995829839495, -107.479971483168 36.9999124212053, -107.675628145156 36.9999124212053, -107.871284807144 36.9999124212053, -108.066941469132 36.9999124212053, -108.262598131121 36.9999124212053, -108.458254793109 36.9999124212052, -108.653911455097 36.9999124212052, -108.849568117085 36.9999124212052, -109.045224779073 36.9999124212052, -109.043672810217 31.3418991373154, -108.843246186545 31.3419409918109))",US.NM,35,35,121659.94,17.1,0400000US35,2080085,1625155,60.2,53.9,9.6,764684,44968,62136
Connecticut,CT|Conn.,"POLYGON((-73.5257132636309 41.6721853704427, -73.5534893459878 41.2898572861313, -73.4751737128494 41.2046686874981, -73.692679816366 41.1073102890604, -73.6566871812747 40.9850696884738, -73.6478865317872 40.9547692769199, -73.6482692171426 40.9546234633635, -73.6478865317872 40.9532393609495, -73.4549564858249 41.0200693183191, -73.2620264398627 41.0868992756888, -73.0690963939005 41.1537292330584, -72.8761663479382 41.220559190428, -72.7309103563198 41.2328581813134, -72.5856543647014 41.2451571721989, -72.4403983730829 41.2574561630843, -72.2951423814645 41.2697551539698, -72.0744840155782 41.2948957382798, -71.853825649692 41.3200363225898, -71.7929508124521 41.4666165227856, -71.8009089830251 42.0132498235691, -72.0337371487161 42.0189342311212, -72.2665653144071 42.0246186386733, -72.4993934800982 42.0303030462254, -72.7322216457892 42.0359874537775, -72.9236505296604 42.0406189540217, -73.1150794135316 42.0452504542658, -73.3065082974029 42.0498819545099, -73.4979371812741 42.0545134547541, -73.5257132636309 41.6721853704427))",US.CT,9,9,4957.623,724.6,0400000US09,3592053,2895925,67.8,61,9.6,1356206,69899,99110
Washington,WA|Wash.,"POLYGON((-117.217133971111 48.9994076986581, -117.402838125682 48.9995062068571, -117.588542280254 48.9996047150562, -117.774246434826 48.9997032232552, -117.959950589397 48.9998017314543, -118.145654743969 48.9999002396533, -118.331358898541 48.9999987478524, -118.517063053113 49.0000972560514, -118.702767207684 49.0001957642505, -118.888471362256 49.0002942724496, -119.074175516828 49.0003927806486, -119.259879671399 49.0004912888477, -119.445583825971 49.0005897970467, -119.631287980543 49.0006883052458, -119.816992135114 49.0007868134448, -120.002696289686 49.0008853216439, -120.180027771581 49.0008299890412, -120.357359253475 49.0007746564384, -120.53469073537 49.0007193238357, -120.712022217264 49.0006639912329, -120.889353699159 49.0006086586302, -121.066685181054 49.0005533260275, -121.244016662948 49.0004979934247, -121.421348144843 49.000442660822, -121.598679626738 49.0003873282193, -121.776011108632 49.0003319956165, -121.953342590527 49.0002766630138, -122.130674072421 49.0002213304111, -122.308005554316 49.0001659978083, -122.485337036211 49.0001106652056, -122.662668518105 49.0000553326028, -122.84 49.0000000000001, -122.754957672278 48.7950400559962, -122.669915344555 48.5900801119922, -122.584873016833 48.3851201679883, -122.49983068911 48.1801602239844, -122.459878347394 47.9751081406502, -122.419926005678 47.7700560573161, -122.379973663963 47.5650039739819, -122.340021322247 47.3599518906478, -122.463579671857 47.2279186061421, -122.587138021467 47.0958853216364, -122.653745768784 47.2138996564319, -122.7203535161 47.3319139912273, -122.786961263417 47.4499283260228, -122.853569010734 47.5679426608182, -122.92017675805 47.6859569956137, -122.986784505367 47.8039713304092, -123.053392252683 47.9219856652046, -123.12 48.0400000000001, -123.300762634277 48.0824643707276, -123.481525268555 48.1249287414552, -123.662287902832 48.1673931121827, -123.84305053711 48.2098574829103, -124.023813171387 48.2523218536378, -124.204575805664 48.2947862243653, -124.385338439942 48.3372505950929, -124.566101074219 48.3797149658204, -124.687210083008 48.1844329833984, -124.614325062256 48.0683672375488, -124.541440041504 47.9523014916993, -124.468555020752 47.8362357458497, -124.39567 47.7201700000001, -124.31666125 47.5063150000001, -124.2376525 47.2924600000001, -124.15864375 47.0786050000001, -124.079635 46.8647500000001, -124.039155663392 46.5739097435522, -123.998676326784 46.2830694871044, -123.77670365461 46.2820331894716, -123.624038554512 46.2796431544782, -123.471373454413 46.2772531194847, -123.349933838527 46.2317520208517, -123.228494222641 46.1862509222186, -123.083231771469 46.1576738551612, -122.937969320296 46.1290967881039, -122.845106771468 46.0335858221204, -122.752244222639 45.9380748561368, -122.725785889306 45.7703331569176, -122.651707723615 45.6300833196773, -122.420455689109 45.5919977890782, -122.174915121074 45.5951500514479, -121.981503154114 45.6480667181148, -121.788091187154 45.7009833847818, -121.561076620095 45.7327643906413, -121.382482870094 45.7113315903483, -121.203889120094 45.6898987900552, -121.046741089495 45.6374988877111, -120.837193156551 45.6729489202634, -120.609635986954 45.7539000514486, -120.383952088027 45.7472854681152, -120.1582681891 45.7406708847819, -119.972788554497 45.7957192042809, -119.787308919893 45.8507675237798, -119.592049520478 45.9322354192879, -119.336999681457 45.8883362900559, -119.157617865864 45.9404519720223, -118.978236050271 45.9925676539887, -118.72033189581 45.9934945999929, -118.46242774135 45.9944215459971, -118.204523586889 45.9953484920014, -117.946619432429 45.9962754380056, -117.688715277968 45.9972023840098, -117.430811123507 45.9981293300141, -117.172906969047 45.9990562760183, -116.915002814586 45.9999832220225, -116.90652787969 46.1777759873228, -116.998072679495 46.3301697861514, -117.012361213023 47.0265484686087, -117.026649746552 47.7229271510659, -117.031429816539 48.999309190459, -117.217133971111 48.9994076986581))",US.WA,53,53,67277.213,102.5,0400000US53,6899123,5488038,64.7,58.2,8.8,2645396,60294,79195
Indiana,IN|Ind.,"POLYGON((-87.9214237129073 37.7936624212084, -87.9113726468265 37.904249986313, -87.7825174629067 37.8653634710134, -87.6536622789869 37.8264769557138, -87.4393601142725 37.9360051539564, -87.2853772651508 37.859808254542, -87.1313944160291 37.7836113551277, -87.0557142809377 37.8809697535656, -86.8255216132935 37.9762352564956, -86.6101600817171 37.8587488876801, -86.4995725166125 37.9698790553237, -86.4125235664169 38.0696274887551, -86.3254746162212 38.1693759221865, -86.2625068834736 38.0466185572772, -86.0598319160248 37.9608873561049, -85.9497611152431 38.1098446721863, -85.8396903144614 38.2588019882676, -85.6984069485755 38.2900145533719, -85.5666320462312 38.4619937200392, -85.4258912828843 38.5350383570838, -85.4041871813217 38.7271196559127, -85.1676383125056 38.6911270208214, -85.011549648768 38.7794937200405, -84.8432653470095 38.7810956894415, -84.7998829821005 38.855173855132, -84.8813767158248 39.0594249537656, -84.8236799791709 39.1065280217996, -84.8178663805381 39.799741522779, -84.8099340481813 40.7728604192672, -84.8067559475953 41.6777405869141, -84.8072985501344 41.7560562200524, -85.0425102912649 41.7548676621097, -85.2777220323954 41.753679104167, -85.5129337735259 41.7524905462243, -85.7481455146564 41.7513019882816, -86.0172246976002 41.7524905462243, -86.286303880544 41.753679104167, -86.5553830634878 41.7548676621097, -86.8244622464316 41.7560562200524, -86.8244622464316 41.7608362900394, -86.9985601468229 41.7608362900394, -87.1726580472142 41.7608362900394, -87.3467559476055 41.7608362900394, -87.5208538479968 41.7608362900394, -87.5213706123197 41.7084363876954, -87.5261506823067 41.7084363876954, -87.5282694160307 39.3922728541575, -87.585152248876 39.2531082219955, -87.6420350817213 39.1139435898335, -87.5599987454579 39.040382188466, -87.507082078791 38.8694623886607, -87.515040249364 38.7350519882695, -87.5986527168122 38.6742029892458, -87.6711289131016 38.5085800237504, -87.7748435127114 38.3995685898306, -87.8785581123212 38.2905571559109, -87.9486830309413 38.1561467555198, -88.0188079495613 38.0217363551286, -88.0510798815276 37.819603990219, -87.9214237129073 37.7936624212084))",US.IN,18,18,36587.805,178.8,0400000US18,6542411,5131317,64.1,58.4,8.8,2492183,48737,63736
Delaware,DE|Del.,"POLYGON((-75.0718347647899 38.7820322301793, -75.1958510405812 38.8709900258915, -75.3198673163725 38.9599478216037, -75.4238402981437 39.2292983058171, -75.527813279915 39.4986487900304, -75.5542716132484 39.6912468531823, -75.4055726793285 39.7955040553311, -75.620960049121 39.8473613551359, -75.710902879525 39.8023770208259, -75.7876423814785 39.7235446233647, -75.7511329820643 39.0864258896382, -75.7146235826501 38.4493071559116, -75.5480639818194 38.4491715052768, -75.3815043809886 38.449035854642, -75.2149447801579 38.4489002040073, -75.0483851793271 38.4487645533725, -75.0718347647899 38.7820322301793))",US.DE,10,10,1958.099,468.3,0400000US10,917060,734886,63.8,58,8.5,339046,60231,78589
Florida,FL|Fla.,"POLYGON((-87.2478084988747 30.3056892461297, -86.9652288479946 30.3371795720576, -86.6826491971146 30.3686698979855, -86.4000695462345 30.4001602239134, -86.2433271596759 30.338272667935, -86.0865847731173 30.2763851119566, -85.9298423865586 30.2144975559783, -85.7731 30.1526099999999, -85.651785 30.0359875, -85.53047 29.919365, -85.409155 29.8027425000001, -85.28784 29.6861200000001, -85.10882 29.6361500000001, -84.8565641289066 29.7496249884325, -84.6043082578132 29.863099976865, -84.3520523867198 29.9765749652974, -84.0997965156264 30.0900499537298, -83.9046932578132 30.013304976865, -83.7095899999999 29.9365600000001, -83.6121412499999 29.8319900000001, -83.5146924999999 29.7274200000001, -83.4172437499999 29.6228500000001, -83.3197949999999 29.5182800000001, -83.2223462499999 29.4137100000001, -83.1248974999999 29.3091400000001, -83.0274487499999 29.2045700000001, -82.9299999999999 29.1000000000001, -82.7899425082985 28.8250848930402, -82.6498850165971 28.5501697860803, -82.7525725082986 28.2182048930402, -82.85526 27.88624, -82.780205 27.6906400000001, -82.7051499999999 27.4950400000001, -82.5888077124821 27.3037404050958, -82.4724654249644 27.1124408101916, -82.3561231374466 26.9211412152873, -82.2397808499288 26.729841620383, -82.1073535326269 26.5148676620488, -81.9749262153249 26.2998937037146, -81.842498898023 26.0849197453805, -81.710071580721 25.8699457870463, -81.520096096508 25.7548494532242, -81.330120612295 25.6397531194021, -81.2510169135642 25.4204254216473, -81.1719132148334 25.2010977238924, -80.9258558824756 25.1405071070302, -80.6797985501179 25.079916490168, -80.5304142750589 25.143038245084, -80.38103 25.20616, -80.2562949999999 25.5114675000001, -80.1315599999999 25.8167750000001, -80.088015 26.205765, -80.0565392849776 26.88, -80.1749145260672 27.1700179307318, -80.2932897671568 27.4600358614637, -80.4116650082464 27.7500537921955, -80.530040249336 28.0400717229273, -80.535585 28.47213, -80.6466467290011 28.6490721974973, -80.7577084580022 28.8260143949946, -80.8687701870034 29.0029565924918, -80.9798319160045 29.1798987899891, -81.0633014370034 29.3938040924918, -81.1467709580023 29.6077093949946, -81.2302404790011 29.8216146974973, -81.31371 30.0355200000001, -81.4020912908483 30.3826750118597, -81.4904725816966 30.7298300237192, -81.7015966458251 30.7483301864798, -81.8995173815029 30.8218915878473, -82.0201560126883 30.7880176864799, -82.0228173489513 30.4403644882364, -82.1519309150326 30.3509384221551, -82.226009080723 30.5255530868695, -82.4287454139351 30.5442728744672, -82.6314817471472 30.562992662065, -82.8342180803593 30.5817124496627, -83.0369544135714 30.6004322372604, -83.2396907467834 30.6191520248581, -83.4424270799955 30.6378718124558, -83.6451634132076 30.6565916000536, -83.8478997464197 30.6753113876513, -84.0992539130873 30.6868223129444, -84.3506080797549 30.6983332382374, -84.6019622464226 30.7098441635305, -84.8533164130902 30.7213550888235, -84.9292549303431 30.8560238713761, -85.0051934475961 30.9906926539286, -85.2602521685037 30.9899659540995, -85.5153108894113 30.9892392542704, -85.7703696103189 30.9885125544413, -86.0254283312265 30.9877858546122, -86.2804870521341 30.9870591547831, -86.5355457730417 30.986332454954, -86.7906044939493 30.9856057551249, -87.0456632148569 30.9848790552958, -87.3314080472148 30.9563019882384, -87.6171528795727 30.927724921181, -87.6330433825025 30.8515280217667, -87.5190064155424 30.7300884058807, -87.4049694485823 30.6086487899948, -87.4578861152492 30.411270656856, -87.5303881497547 30.2741989202018, -87.2478084988747 30.3056892461297))",US.FL,12,12,56371.885,343.5,0400000US12,19361792,15817611,59.5,52.7,10.9,7217508,47212,67143
Mississippi,MS|Miss.,"POLYGON((-91.0847965156543 32.952846788051, -91.1757987129203 32.8083853215792, -91.0308204821255 32.6025322535444, -91.0720841133105 32.4787155217732, -90.9429705472292 32.3067363551057, -91.0816184150684 32.2045978866809, -91.1281788805633 32.0156946884379, -91.3213195462542 31.8595801864843, -91.4112882148743 31.6500322535407, -91.5022904121404 31.4087291529538, -91.6245310127268 31.2970822209871, -91.5837841458646 31.0473300237205, -91.363254971059 31.0393912318097, -91.1427257962534 31.0314524398988, -90.9221966214479 31.023513647988, -90.7016674466423 31.0155748560772, -90.4660552131616 31.0150451726462, -90.2304429796808 31.0145154892153, -89.9948307462001 31.0139858057843, -89.7592185127193 31.0134561223533, -89.7877955797767 30.8472905543186, -89.8539414131103 30.6832437200081, -89.7904569160397 30.5567914901899, -89.6586820136955 30.4408812525593, -89.6232319811432 30.2752582870638, -89.6047059801666 30.1762979192249, -89.5939291390298 30.1603780541948, -89.5938311784197 30.1599940048368, -89.3871605892098 30.2379870024185, -89.1804899999999 30.3159800000001, -88.9898179208217 30.3331880808807, -88.7991458416434 30.3503961617613, -88.6084737624651 30.3676042426419, -88.4178016832869 30.3848123235225, -88.4336663480005 31.1483962061753, -88.4495310127141 31.9119800888281, -88.4054833137393 32.3114970464306, -88.3614356147645 32.7110140040331, -88.3173879157897 33.1105309616357, -88.2733402168149 33.5100479192382, -88.2288855659358 33.8340333114921, -88.1844309150568 34.158018703746, -88.1399762641777 34.4820040959999, -88.0955216132986 34.8059894882538, -88.1669642809421 34.9996727564837, -88.4412046475611 35.0050923223203, -88.71544501418 35.0105118881569, -88.989685380799 35.0159314539935, -89.2639257474179 35.0213510198301, -89.5102543810452 35.0212218287494, -89.7565830146725 35.0210926376686, -90.0029116482997 35.0209634465879, -90.249240281927 35.0208342555072, -90.2682830472266 34.9414592555069, -90.4466184150658 34.8668384872774, -90.4503132799747 34.7218602564826, -90.5172600980088 34.5879795395225, -90.5842069160429 34.4540988225623, -90.6995487129184 34.3974614527704, -90.8763079495727 34.2614749211943, -90.9821412829065 34.0551050888367, -91.0914110989876 33.8807488062839, -91.2006809150688 33.7063925237311, -91.2234443834934 33.4693268905922, -91.1080767484018 33.2068364527656, -91.1562391832978 33.0100009221659, -91.0847965156543 32.952846788051))",US.MS,28,28,47846.53,62.4,0400000US28,2984345,2323223,58.4,51.6,10.9,1092627,39464,54881
